"","state","votes","party"
"1","ALABAMA",1255925,"REPUBLICAN"
"2","ALABAMA",795696,"DEMOCRAT"
"3","ALASKA",164676,"REPUBLICAN"
"4","ALASKA",122640,"DEMOCRAT"
"5","ALASKA",7392,"LIBERTARIAN"
"6","ARIZONA",1233654,"REPUBLICAN"
"7","ARIZONA",1025232,"DEMOCRAT"
"8","ARIZONA",32100,"LIBERTARIAN"
"9","ARKANSAS",647744,"REPUBLICAN"
"10","ARKANSAS",394409,"DEMOCRAT"
"11","ARKANSAS",16276,"LIBERTARIAN"
"12","CALIFORNIA",7854285,"DEMOCRAT"
"13","CALIFORNIA",4839958,"REPUBLICAN"
"14","CALIFORNIA",143221,"LIBERTARIAN"
"15","COLORADO",1323101,"DEMOCRAT"
"16","COLORADO",1185243,"REPUBLICAN"
"17","COLORADO",35545,"LIBERTARIAN"
"18","CONNECTICUT",905083,"DEMOCRAT"
"19","CONNECTICUT",634892,"REPUBLICAN"
"20","CONNECTICUT",12340,"LIBERTARIAN"
"21","DELAWARE",242584,"DEMOCRAT"
"22","DELAWARE",165484,"REPUBLICAN"
"23","DELAWARE",3882,"LIBERTARIAN"
"24","DISTRICT OF COLUMBIA",267070,"DEMOCRAT"
"25","DISTRICT OF COLUMBIA",21381,"REPUBLICAN"
"26","DISTRICT OF COLUMBIA",2083,"LIBERTARIAN"
"27","FLORIDA",4237756,"DEMOCRAT"
"28","FLORIDA",4163447,"REPUBLICAN"
"29","FLORIDA",44726,"LIBERTARIAN"
"30","GEORGIA",2078688,"REPUBLICAN"
"31","GEORGIA",1773827,"DEMOCRAT"
"32","GEORGIA",45324,"LIBERTARIAN"
"33","HAWAII",306658,"DEMOCRAT"
"34","HAWAII",121015,"REPUBLICAN"
"35","HAWAII",3840,"LIBERTARIAN"
"36","IDAHO",420911,"REPUBLICAN"
"37","IDAHO",212787,"DEMOCRAT"
"38","IDAHO",9453,"LIBERTARIAN"
"39","ILLINOIS",3019512,"DEMOCRAT"
"40","ILLINOIS",2135216,"REPUBLICAN"
"41","ILLINOIS",56229,"LIBERTARIAN"
"42","INDIANA",1420543,"REPUBLICAN"
"43","INDIANA",1152887,"DEMOCRAT"
"44","INDIANA",50111,"LIBERTARIAN"
"45","IOWA",822544,"DEMOCRAT"
"46","IOWA",730617,"REPUBLICAN"
"47","IOWA",12926,"LIBERTARIAN"
"48","KANSAS",692634,"REPUBLICAN"
"49","KANSAS",440726,"DEMOCRAT"
"50","KANSAS",20456,"LIBERTARIAN"
"51","KENTUCKY",1087190,"REPUBLICAN"
"52","KENTUCKY",679370,"DEMOCRAT"
"53","KENTUCKY",17063,"LIBERTARIAN"
"54","LOUISIANA",1152262,"REPUBLICAN"
"55","LOUISIANA",809141,"DEMOCRAT"
"56","LOUISIANA",18157,"LIBERTARIAN"
"57","MAINE",401306,"DEMOCRAT"
"58","MAINE",292276,"REPUBLICAN"
"59","MAINE",9352,"LIBERTARIAN"
"60","MARYLAND",1677844,"DEMOCRAT"
"61","MARYLAND",971869,"REPUBLICAN"
"62","MARYLAND",30195,"LIBERTARIAN"
"63","MASSACHUSETTS",1921290,"DEMOCRAT"
"64","MASSACHUSETTS",1188314,"REPUBLICAN"
"65","MASSACHUSETTS",30920,"LIBERTARIAN"
"66","MICHIGAN",2564569,"DEMOCRAT"
"67","MICHIGAN",2115256,"REPUBLICAN"
"68","MINNESOTA",1546167,"DEMOCRAT"
"69","MINNESOTA",1320225,"REPUBLICAN"
"70","MINNESOTA",35098,"LIBERTARIAN"
"71","MISSISSIPPI",710746,"REPUBLICAN"
"72","MISSISSIPPI",562949,"DEMOCRAT"
"73","MISSISSIPPI",6676,"LIBERTARIAN"
"74","MISSOURI",1482440,"REPUBLICAN"
"75","MISSOURI",1223796,"DEMOCRAT"
"76","MISSOURI",43151,"LIBERTARIAN"
"77","MONTANA",267928,"REPUBLICAN"
"78","MONTANA",201839,"DEMOCRAT"
"79","MONTANA",14165,"LIBERTARIAN"
"80","NEBRASKA",475064,"REPUBLICAN"
"81","NEBRASKA",302081,"DEMOCRAT"
"82","NEBRASKA",11109,"LIBERTARIAN"
