NAME,REGION,POPESTIMATE2013
United States,0,315993715
Northeast Region,Northeast,55901806
Midwest Region,Midwest,67560379
South Region,South,118364400
West Region,West,74167130
Alabama,South,4830081
Alaska,West,737068
Arizona,West,6632764
Arkansas,South,2959400
California,West,38260787
Colorado,West,5269035
Connecticut,Northeast,3594841
Delaware,South,923576
District of Columbia,South,650581
Florida,South,19545621
Georgia,South,9972479
Hawaii,West,1408243
Idaho,West,1611206
Illinois,Midwest,12895129
Indiana,Midwest,6568713
Iowa,Midwest,3092997
Kansas,Midwest,2893212
Kentucky,South,4404659
Louisiana,South,4624527
Maine,Northeast,1328009
Maryland,South,5923188
Massachusetts,Northeast,6713315
Michigan,Midwest,9913065
Minnesota,Midwest,5413479
Mississippi,South,2988711
Missouri,Midwest,6040715
Montana,West,1013569
Nebraska,Midwest,1865279
Nevada,West,2775970
New Hampshire,Northeast,1326622
New Jersey,Northeast,8856972
New Mexico,West,2092273
New York,Northeast,19624447
North Carolina,South,9843336
North Dakota,Midwest,722036
Ohio,Midwest,11576684
Oklahoma,South,3853214
Oregon,West,3922468
Pennsylvania,Northeast,12776309
Rhode Island,Northeast,1055081
South Carolina,South,4764080
South Dakota,Midwest,842316
Tennessee,South,6494340
Texas,South,26480266
Utah,West,2897640
Vermont,Northeast,626210
Virginia,South,8252427
Washington,West,6963985
West Virginia,South,1853914
Wisconsin,Midwest,5736754
Wyoming,West,582122
Puerto Rico,X,3593077
