State,Agencytype,Agencyname,Race,Religion,Sexualorientation,Ethnicity,Disability,Gender,GenderIdentity,1stquarter,2ndquarter,3rdquarter,4thquarter,Population
Vermont,StatePoliceAgencies,"StatePolice,St.Albans",0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,
Maryland,Cities,Aberdeen,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,15039.0
South Dakota,Cities,Aberdeen,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,26999.0
Washington,Cities,Aberdeen,3,0,0,1,0,0.0,0.0,1.0,1.0,0.0,2.0,16408.0
New Jersey,Cities,AberdeenTownship,8,1,2,0,0,0.0,0.0,1.0,6.0,1.0,3.0,18150.0
Massachusetts,Cities,Acton,3,0,0,0,0,0.0,0.0,0.0,2.0,0.0,1.0,22871.0
Idaho,MetropolitanCounties,Ada,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,
Colorado,MetropolitanCounties,Adams,1,0,1,1,0,0.0,0.0,1.0,0.0,2.0,0.0,
California,Cities,Adelanto,1,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,31165.0
Michigan,Cities,Adrian,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,20759.0
California,Cities,AgouraHills,2,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,20762.0
Ohio,Cities,Akron,5,0,2,1,0,0.0,0.0,3.0,3.0,2.0,0.0,198405.0
Florida,MetropolitanCounties,Alachua,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,
California,Cities,Alameda,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,76206.0
New York,Cities,Albany,1,2,0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,97956.0
North Carolina,Cities,Albemarle,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,15946.0
Virginia,MetropolitanCounties,AlbemarleCountyPoliceDepartment,7,2,0,1,0,0.0,0.0,1.0,5.0,2.0,2.0,
Michigan,Cities,Albion,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,8524.0
New Mexico,Cities,Albuquerque,5,1,4,0,0,0.0,0.0,2.0,1.0,6.0,1.0,558165.0
Wisconsin,Cities,Algoma,1,1,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,3143.0
California,Cities,Alhambra,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,84710.0
New Jersey,Cities,Allenhurst,0,2,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,493.0
Ohio,Cities,Alliance,0,0,0,1,0,0.0,0.0,0.0,,1.0,,22144.0
Michigan,Cities,Alpena,1,1,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,10299.0
California,NonmetropolitanCounties,Alpine,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,
Iowa,Cities,Altoona,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,15683.0
Oklahoma,Cities,Altus,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,19634.0
California,NonmetropolitanCounties,Amador,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
Texas,UniversitiesandColleges,AmarilloCollege,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,11530.0
Iowa,Cities,Ames,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,61193.0
Massachusetts,Cities,Amesbury,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,16655.0
Massachusetts,Cities,Amherst,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,39127.0
Virginia,MetropolitanCounties,Amherst,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,
New York,Cities,AmherstTown,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,118296.0
Alaska,Cities,Anchorage,8,0,0,0,0,0.0,0.0,2.0,3.0,3.0,0.0,299455.0
South Carolina,Cities,Anderson,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,26812.0
Kansas,Cities,Andover,0,1,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,12188.0
Michigan,Cities,AnnArbor,1,1,1,0,0,0.0,0.0,0.0,3.0,0.0,0.0,116799.0
Maryland,Cities,Annapolis,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,38649.0
California,Cities,Antioch,2,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,106447.0
Arizona,Cities,ApacheJunction,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,,36626.0
Wisconsin,Cities,Appleton,0,0,2,0,0,0.0,0.0,0.0,2.0,0.0,0.0,73141.0
Virginia,MetropolitanCounties,Appomattox,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,
Colorado,MetropolitanCounties,Arapahoe,4,2,2,0,0,0.0,0.0,6.0,0.0,2.0,0.0,
California,Cities,Arcadia,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,57855.0
Kansas,Cities,ArkansasCity,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,12322.0
