State,Agency type,Agency name,Race,Religion,Sexual orientation,Ethnicity,Disability,Gender,Gender Identity,1st quarter,2nd quarter,3rd quarter,4th quarter,Population
Vermont,State Police Agencies,"State Police, St. Albans",0,0,1,0,0,0,0,0,1,0,0,
Maryland,Cities,Aberdeen,0,1,0,0,0,0,0,0,0,1,0,"15,039"
South_Dakota,Cities,Aberdeen,1,0,0,0,0,0,0,0,0,0,1,"26,999"
Washington,Cities,Aberdeen,3,0,0,1,0,0,0,1,1,0,2,"16,408"
New_Jersey,Cities,Aberdeen Township,8,1,2,0,0,0,0,1,6,1,3,"18,150"
Massachusetts,Cities,Acton,3,0,0,0,0,0,0,0,2,0,1,"22,871"
Idaho,Metropolitan Counties,Ada,0,1,0,1,0,0,0,0,1,0,1,
Colorado,Metropolitan Counties,Adams,1,0,1,1,0,0,0,1,0,2,0,
California,Cities,Adelanto,1,0,0,1,0,0,0,1,0,1,0,"31,165"
Michigan,Cities,Adrian,0,0,1,0,0,0,0,0,1,0,,"20,759"
California,Cities,Agoura Hills,2,0,0,0,0,0,0,0,2,0,0,"20,762"
Ohio,Cities,Akron,5,0,2,1,0,0,0,3,3,2,0,"198,405"
Florida,Metropolitan Counties,Alachua,0,0,0,1,0,0,0,1,0,0,0,
California,Cities,Alameda,0,1,0,0,0,0,0,0,0,0,1,"76,206"
New_York,Cities,Albany,1,2,0,0,0,0,0,0,2,1,0,"97,956"
North_Carolina,Cities,Albemarle,1,0,0,0,0,0,0,0,0,0,1,"15,946"
Virginia,Metropolitan Counties,Albemarle County Police Department,7,2,0,1,0,0,0,1,5,2,2,
Michigan,Cities,Albion,1,0,0,0,0,0,0,0,1,0,0,"8,524"
New_Mexico,Cities,Albuquerque,5,1,4,0,0,0,0,2,1,6,1,"558,165"
Wisconsin,Cities,Algoma,1,1,0,0,0,0,0,0,0,2,0,"3,143"
California,Cities,Alhambra,1,0,0,0,0,0,0,0,0,0,1,"84,710"
New_Jersey,Cities,Allenhurst,0,2,0,0,0,0,0,0,0,1,1,493
Ohio,Cities,Alliance,0,0,0,1,0,0,0,0,,1,,"22,144"
Michigan,Cities,Alpena,1,1,0,0,0,0,0,2,0,0,0,"10,299"
California,Nonmetropolitan Counties,Alpine,1,0,0,0,0,0,0,1,0,0,0,
Iowa,Cities,Altoona,0,0,1,0,0,0,0,0,0,1,0,"15,683"
Oklahoma,Cities,Altus,1,0,0,0,0,0,0,0,1,0,0,"19,634"
California,Nonmetropolitan Counties,Amador,0,0,1,0,0,0,0,0,0,1,0,
Texas,Universities and Colleges,Amarillo College,1,0,0,0,0,0,0,1,0,0,0,"11,530"
Iowa,Cities,Ames,1,0,0,1,0,0,0,0,0,1,1,"61,193"
Massachusetts,Cities,Amesbury,0,1,0,0,0,0,0,0,1,0,0,"16,655"
Massachusetts,Cities,Amherst,1,0,0,0,0,0,0,1,0,0,0,"39,127"
Virginia,Metropolitan Counties,Amherst,1,0,0,0,0,0,0,0,0,1,0,
New_York,Cities,Amherst Town,3,0,0,0,0,0,0,0,0,1,2,"118,296"
Alaska,Cities,Anchorage,8,0,0,0,0,0,0,2,3,3,0,"299,455"
South_Carolina,Cities,Anderson,1,0,0,0,0,0,0,0,0,0,1,"26,812"
Kansas,Cities,Andover,0,1,1,0,0,0,0,0,1,1,0,"12,188"
Michigan,Cities,Ann Arbor,1,1,1,0,0,0,0,0,3,0,0,"116,799"
Maryland,Cities,Annapolis,0,1,0,0,0,0,0,1,0,0,0,"38,649"
California,Cities,Antioch,2,0,0,0,0,0,0,1,1,0,0,"106,447"
Arizona,Cities,Apache Junction,1,0,0,0,0,0,0,1,0,0,,"36,626"
Wisconsin,Cities,Appleton,0,0,2,0,0,0,0,0,2,0,0,"73,141"
Virginia,Metropolitan Counties,Appomattox,0,1,0,0,0,0,0,0,0,0,1,
Colorado,Metropolitan Counties,Arapahoe,4,2,2,0,0,0,0,6,0,2,0,
California,Cities,Arcadia,1,0,0,0,0,0,0,1,0,0,0,"57,855"
Kansas,Cities,Arkansas City,2,0,0,0,0,0,0,0,1,0,1,"12,322"
Virginia,Metropolitan Counties,Arlington County Police Department,1,0,1,0,0,0,0,1,0,1,0,
Colorado,Cities,Arvada,2,0,0,0,0,0,0,0,0,1,1,"110,792"
New_Jersey,Cities,Asbury Park,1,0,3,0,0,0,0,1,2,1,0,"15,779"
Louisiana,Metropolitan Counties,Ascension,3,1,0,0,0,0,0,0,3,1,0,
North_Carolina,Cities,Asheboro,1,0,0,0,0,0,0,0,0,0,1,"25,665"
North_Carolina,Cities,Asheville,5,2,2,1,0,0,0,3,0,3,4,"86,445"
Kentucky,Cities,Ashland,3,0,0,0,0,0,0,1,0,2,0,"21,432"
New_Hampshire,Cities,Ashland,1,0,0,0,0,0,0,0,1,0,0,"2,056"
Ohio,Cities,Ashland,1,0,0,0,0,0,0,1,0,0,0,"20,306"
Ohio,Nonmetropolitan Counties,Ashland,0,0,0,1,0,0,0,0,0,1,0,
Oregon,Cities,Ashland,1,0,0,0,0,0,0,1,0,0,0,"20,455"
Tennessee,Cities,Ashland City,1,0,0,0,0,0,0,0,1,0,0,"4,637"
California,Cities,Atascadero,1,0,0,1,0,0,0,0,0,1,1,"28,938"
Ohio,Cities,Athens,0,0,1,0,0,0,0,1,0,0,0,"23,721"
Ohio,Nonmetropolitan Counties,Athens,0,0,1,0,0,0,0,0,0,1,0,
Tennessee,Cities,Athens,1,0,0,0,0,0,0,0,0,1,0,"13,504"
Georgia,Cities,Atlanta,5,1,12,2,1,0,0,8,11,2,0,"451,020"
Tennessee,Cities,Atoka,0,0,0,0,1,0,0,0,0,1,0,"8,821"
Massachusetts,Cities,Attleboro,1,0,0,1,0,0,0,0,1,0,1,"44,034"
California,Cities,Atwater,0,0,0,1,0,0,0,0,1,0,0,"28,906"
California,Cities,Auburn,1,0,0,0,0,0,0,0,1,0,0,"13,779"
Maine,Cities,Auburn,2,0,0,0,0,0,0,0,0,2,0,"22,948"
Washington,Cities,Auburn,5,1,0,3,0,0,1,1,1,4,4,"74,565"
Ohio,Nonmetropolitan Counties,Auglaize,1,0,0,0,0,0,0,1,0,0,0,
Colorado,Cities,Aurora,4,0,1,1,0,0,0,1,3,0,2,"343,484"
Illinois,Cities,Aurora,0,0,1,0,0,0,0,0,0,1,0,"200,551"
Texas,Cities,Austin,0,0,1,3,0,0,0,2,1,1,0,"859,180"
Ohio,Cities,Austintown,2,0,0,0,0,0,0,0,1,1,0,"36,192"
Arizona,Cities,Avondale,4,0,0,1,0,0,0,1,1,3,0,"78,905"
California,Cities,Azusa,1,0,0,0,0,0,0,0,0,1,0,"47,754"
California,Cities,Bakersfield,2,1,0,0,0,0,0,0,0,2,1,"361,859"
California,Cities,Baldwin Park,0,0,1,0,0,0,0,0,0,1,0,"76,745"
Indiana,Universities and Colleges,Ball State University,0,1,0,0,0,0,0,0,1,0,0,"21,053"
Maryland,Cities,Baltimore,0,1,0,1,0,0,0,1,0,0,1,"622,671"
Maryland,Metropolitan Counties,Baltimore County Police Department,3,2,0,0,0,0,0,1,0,2,2,
Michigan,Cities,Bangor,0,0,0,0,0,1,0,0,0,0,1,"1,857"
California,Cities,Banning,0,0,0,1,0,0,0,0,0,1,0,"30,503"
Ohio,Cities,Barberton,3,0,1,0,0,0,0,0,2,1,1,"26,245"
West_Virginia,Cities,Barboursville,2,0,0,0,0,0,0,0,1,0,1,"4,099"
